Ref,Val,Package,PosX,PosY,Rot,Side
"J31","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical_SMD",45.720000,-119.062500,0.000000,bottom
"C1","10u","C_1206_3216Metric",159.054800,-134.874000,270.000000,top
"C2","10u","C_1206_3216Metric",162.052000,-126.479300,0.000000,top
"C3","10u","C_1206_3216Metric",162.052000,-128.765300,0.000000,top
"C4","10n","C_0805_2012Metric",162.610800,-124.345700,0.000000,top
"C5","100n","C_0603_1608Metric",170.561000,-120.611900,180.000000,top
"C6","2.7n","C_0603_1608Metric",159.004000,-117.284500,90.000000,top
"C7","22u","C_0603_1608Metric",166.060120,-126.522480,180.000000,top
"C8","22u","C_0603_1608Metric",166.065200,-128.021080,180.000000,top
"C9","1u","C_0805_2012Metric",151.384000,-112.141000,0.000000,top
"C10","1u","C_0805_2012Metric",154.432000,-114.808000,270.000000,top
"C11","100n","C_0603_1608Metric",156.337000,-114.554000,270.000000,top
"C12","100n","C_0603_1608Metric",63.474600,-142.151100,0.000000,top
"C13","100n","C_0603_1608Metric",70.078600,-142.151100,0.000000,top
"C14","100n","C_0603_1608Metric",61.214000,-82.232500,90.000000,top
"C15","100n","C_0603_1608Metric",53.848000,-82.232500,90.000000,top
"C16","100n","C_0603_1608Metric",66.776600,-142.151100,0.000000,top
"C17","100n","C_0603_1608Metric",73.380600,-142.151100,0.000000,top
"C18","100n","C_0603_1608Metric",60.579000,-103.860600,0.000000,top
"C19","100n","C_0603_1608Metric",77.343000,-82.232500,90.000000,top
"C20","100n","C_0603_1608Metric",166.065200,-129.501900,0.000000,top
"C21","100n","C_0603_1608Metric",53.086000,-108.254800,0.000000,top
"C22","100n","C_0603_1608Metric",50.419000,-77.279500,270.000000,top
"C24","100n","C_0603_1608Metric",72.923400,-94.881700,0.000000,top
"C25","20p","C_0603_1608Metric",74.269600,-103.632000,270.000000,top
"C26","20p","C_0603_1608Metric",67.056000,-103.746300,90.000000,top
"C27","100n","C_0603_1608Metric",59.791600,-121.869200,90.000000,top
"C28","100n","C_0603_1608Metric",76.301600,-125.272800,180.000000,top
"C29","100n","C_0603_1608Metric",59.791600,-109.931200,90.000000,top
"C30","4.7u","C_0603_1608Metric",79.095600,-109.093000,270.000000,top
"C31","10n","C_0603_1608Metric",64.592200,-105.740200,0.000000,top
"C32","1u","C_0805_2012Metric",64.414400,-103.936800,0.000000,top
"C33","100n","C_0603_1608Metric",87.769700,-99.314000,270.000000,top
